local_designation ps1_designation id followup_flag_date
3J3Pksn PS1-13dpv 1231136550010027000 2013-10-24
3J3Pkpa PS1-13dpj 1005127481004608900 2013-10-24
3J3Pkta PS1-13dpz 1002552260011905800 2013-10-24
3J3Pjyi PS1-13dot 1011603900020725800 2013-10-24
3J3Pjyg PS1-13dpd 1231029500021233100 2013-10-24
3J3Pjyj PS1-13dpb 1225600351115850500 2013-10-24
3J3Pjye PS1-13dpg 1234341611100908000 2013-10-24
3J3Pjyb PS1-13dpf 1233322161105537700 2013-10-24
3J3Pksm PS1-13dpx 1235050131110257700 2013-10-24
3J3Pjxy PS1-13dpe 1231944701101104300 2013-10-24
3J3Pkov PS1-13dpo 1231224231135757400 2013-10-24
3J3Pkpb PS1-13dpp 1235107681141124100 2013-10-24
3J3Pjyd PS1-13dpc 1225943041145742400 2013-10-24
3J3Pkpc PS1-13dpi 999596391134643200 2013-10-24
3J3Pkpe PS1-13dpn 1224259911194814700 2013-10-24
3J3Pkoz PS1-13dpk 1005539731304033600 2013-10-24
3J3Pkph PS1-13dpl 1010021631342345700 2013-10-24
3J3Pksy PS1-13dqb 1011035061354127700 2013-10-24
3J3Pksz PS1-13dqa 1003920171321843000 2013-10-24
3J3Pkpf PS1-13dpm 1045736171575905100 2013-10-24
3J3Pksp PS1-13dpt 1033509781642607100 2013-10-24
3J3Pktt PS1-13dqq 1013900750152121800 2013-10-27
3J3Pltm PS1-13dso 1011216180122702100 2013-10-27
3J3Pktu PS1-13dra 1031612740154740500 2013-10-27
3J3Pltl PS1-13dsp 1011406380143640400 2013-10-27
3J3Pktx PS1-13dqy 1030438330143156500 2013-10-27
3J3Pkty PS1-13drc 1223000460132648800 2013-10-27
3J3Pktz PS1-13drb 1032639560132538600 2013-10-27
3J3Pktv PS1-13dqo 1010458480093030600 2013-10-27
3J3Pktw PS1-13dqz 1031043120114431700 2013-10-27
3J3Pkyg PS1-13dsb 1223619590145213800 2013-10-27
3J3Pkua PS1-13dqu 1020421640001052700 2013-10-27
3J3Pkue PS1-13dqw 1021537120041233100 2013-10-27
3J3Pkud PS1-13dqr 1014945561015251600 2013-10-27
3J3Pkub PS1-13dqd 1001640631185724700 2013-10-27
3J3Pkuc PS1-13drg 1233316211153532500 2013-10-27
3J3Pkuf PS1-13dqp 1013104361162307300 2013-10-27
3J3Pkye PS1-13dsa 1012634201192023900 2013-10-27
3J3Pktc PS1-13dqs 1020021631215648300 2013-10-27
3J3Pkth PS1-13dqx 1024807901043210500 2013-10-27
3J3Pkuj PS1-13dry 1005754581215030700 2013-10-27
3J3Pkyh PS1-13dri 1002254421165228900 2013-10-27
3J3Pktf PS1-13dqn 1010223271203321800 2013-10-27
3J3Pktg PS1-13drh 1234355761272032900 2013-10-27
3J3Pkte PS1-13drd 1223104941290238500 2013-10-27
3J3Pktd PS1-13dre 1231706721241441500 2013-10-27
3J3Pkuh PS1-13drf 1232126081245550700 2013-10-27
3J3Pkyc PS1-13dsd 1234319431251059500 2013-10-27
3J3Pktp PS1-13dqt 1020040911171705800 2013-10-27
3J3Pkug PS1-13dqv 1020427511171811700 2013-10-27
3J3Pkyp PS1-13drl 1003825541391305100 2013-10-27
3J3Pktq PS1-13dqf 1004039431392811800 2013-10-27
3J3Pktm PS1-13dqg 1004134271392119300 2013-10-27
3J3Pktn PS1-13dqm 1004843331394630800 2013-10-27
3J3Pkto PS1-13dqe 1003952811372306500 2013-10-27
3J3Pktr PS1-13dql 1004624621411201400 2013-10-27
3J3Pkts PS1-13dqj 1004532251405633500 2013-10-27
3J3Pktk PS1-13dqh 1004513821405313900 2013-10-27
3J3Pktj PS1-13dqk 1004542151410508500 2013-10-27
3J3Pktl PS1-13dqi 1004529461411109500 2013-10-27
3J3Pkuk PS1-13dro 1004246021393320600 2013-10-27
3J3Pkul PS1-13drk 1003726221410103200 2013-10-27
3J3Pkuo PS1-13drp 1004541921381810900 2013-10-27
3J3Plci PS1-13dse 1004945841422901800 2013-10-27
3J3Pkun PS1-13drn 1004224151400727800 2013-10-27
3J3Pkum PS1-13drr 1004803371413913300 2013-10-27
3J3Pkup PS1-13drq 1004547531402317400 2013-10-27
3J3Pkuq PS1-13drm 1003925761413532700 2013-10-27
3J3Pkuu PS1-13dru 1004948281421811000 2013-10-27
3J3Pkuw PS1-13drz 1005952261424734600 2013-10-27
3J3Pkuv PS1-13drs 1004916361420942500 2013-10-27
3J3Pkuz PS1-13drv 1005026711420907100 2013-10-27
3J3Pkur PS1-13drw 1005036651420402000 2013-10-27
3J3Pkuy PS1-13drt 1004922671422122900 2013-10-27
3J3Pkut PS1-13drx 1005609701411836400 2013-10-27
3J3Pkux PS1-13drj 1003531501403614500 2013-10-27
3J3Pkus PS1-13dsc 1224714951281513200 2013-10-27
3J3Plti PS1-13dsr 1010136960233823900 2013-10-29
3J3Pljg PS1-13dsf 1003018691115443400 2013-10-29
3J3Povs NULL 1013648191154530700 2013-10-29
3J3Pljl PS1-13dsk 1031640831171954400 2013-10-29
3J3Plsz PS1-13dsx 1022635631211125900 2013-10-29
3J3Pljr PS1-13dsh 1013020001143944100 2013-10-29
3J3Pljn PS1-13dsl 1040729651220951500 2013-10-29
3J3Pljx PS1-13dsg 1011805611271126800 2013-10-29
3J3Pljv PS1-13dsi 1014317561264223500 2013-10-29
3J3Plta PS1-13dsv 1014903561250750700 2013-10-29
3J3Pljy PS1-13dsj 1014943371290714900 2013-10-29
3J3Plsp PS1-13dsn 1043430431120158600 2013-10-29
3J3Plss PS1-13dsz 1044827781135506800 2013-10-29
3J3Plsq PS1-13dsm 1041536751172139500 2013-10-29
3J3Pltq PS1-13dta 1035558771215124300 2013-10-29
3J3Plsv PS1-13dsy 1023753901304931600 2013-10-29
3J3Pmfu PS1-13ebg 1023519320161103100 2013-10-31
3J3Plto PS1-13dtc 1033943861154743400 2013-10-31
3J3Pmfr PS1-13ebf 1012731651153552200 2013-10-31
3J3Pltn PS1-13dtd 1042554771122708000 2013-10-31
3K3Plwe PS1-13dte 1050732420012231200 2013-11-02
3K3Plwi PS1-13dvn 1050335081013417200 2013-11-02
3K3Pmfh PS1-13eap 1050352101003854300 2013-11-02
3K3Plwf PS1-13dvo 1060721191001753000 2013-11-02
3K3Pmeb PS1-13dvz 1001507510240538800 2013-11-05
3K3Pmdu PS1-13dvu 1044306861105340100 2013-11-05
3K3Pmdn PS1-13dvx 1045356611133632500 2013-11-05
3K3Pmdk PS1-13dvw 1045350071241503700 2013-11-05
3K3Pmfc PS1-13eaq 1035547000284302800 2013-11-10
3K3Pmeq PS1-13dwt 1220221850185500800 2013-11-13
3K3Pmgg PS1-13ebh 1090735161445450200 2013-11-18
3K3Pmfa PS1-13eaw 1233519050285826000 2013-11-20
3K3Pmfb PS1-13eau 1002558560253048600 2013-11-20
3K3Pmgh PS1-13ebi 1000142620265807300 2013-11-20
3K3Pmfd PS1-13eax 1233712680254530500 2013-11-20
3K3Pmfm PS1-13ebj 1001953070213256200 2013-11-20
3K3Pmfn PS1-13ebk 1002434810234331300 2013-11-20
3K3Pmfg PS1-13eat 1001103160210640400 2013-11-20
3K3Pmfe PS1-13ear 1000045530192338900 2013-11-20
3K3Pmev PS1-13eas 1000227470161707600 2013-11-20
3K3Pmex PS1-13eav 1004649410160404000 2013-11-20
3K3Pmew PS1-13eay 1234744920174039400 2013-11-20
3K3Pmfi PS1-13eba 1041624940292307000 2013-11-21
3K3Pmfj PS1-13ebc 1042812000265810900 2013-11-21
3K3Pmes PS1-13ebe 1093225171195727300 2013-11-21
3K3Pmfk PS1-13ebb 1042521881694559600 2013-11-21
3K3Pmey PS1-13eaz 1024827301691818200 2013-11-21
3K3Pmpa PS1-13ebm 1100437041263220700 2013-11-23
3K3Pmoz PS1-13ebl 1100223091262955500 2013-11-23
